Unidad de Negocio,Código TS,Código Usuario,Sentido,FREC_PUNTA,FREC_VALLE,INDICE_PUNTA_VALLE,CAP_POR_BUS_PUNTA,TIPO_ZONA
4,440,G22,Ida,11.208333333333334,8.4,1.3343253968253967,90.99999999999999,Periférica
4,440,G22,Ret,11.208333333333334,8.4,1.3343253968253967,90.99999999999999,Periférica
4,483,223,Ida,7.708333333333333,5.777777777777778,1.3341346153846154,99.0,Periférica
18,1847,H07,Ret,5.0,3.755555555555556,1.331360946745562,90.0,Periférica
4,483,223,Ret,7.666666666666667,5.777777777777778,1.326923076923077,99.0,Periférica
5,507,507,Ret,8.666666666666668,6.533333333333334,1.3265306122448979,81.0,Periférica
19,1910,210,Ida,10.75,8.111111111111112,1.3253424657534245,150.00000000000003,Periférica
18,1803,203,Ret,7.125,5.377777777777777,1.324896694214876,150.0,Periférica
4,476,G16,Ida,7.375,5.577777777777778,1.3222111553784859,76.0,Periférica
13,1330,430,Ret,8.458333333333332,6.3999999999999995,1.3216145833333333,150.0,Periférica
16,1635,E05,Ida,6.041666666666666,4.577777777777778,1.319781553398058,60.0,Periférica
5,521,J01,Ida,8.75,6.644444444444443,1.3168896321070236,81.0,Periférica
15,1539,E09,Ida,7.125,5.422222222222222,1.314036885245902,90.0,Periférica
5,507,507,Ida,8.583333333333332,6.533333333333334,1.3137755102040813,81.0,Periférica
8,816,B16,Ret,7.125,5.4444444444444455,1.3086734693877549,90.0,Periférica
3,308,308,Ida,7.375,5.644444444444443,1.3065944881889766,93.0,Semi-Central
5,555,555,Ida,6.291666666666667,4.822222222222223,1.3047235023041475,111.0,Periférica
16,1634,234,Ret,5.5,4.222222222222222,1.3026315789473684,150.0,Periférica
13,1328,428,Ida,7.958333333333333,6.133333333333333,1.297554347826087,90.0,Periférica
12,1226,D26,Ida,3.833333333333333,2.9555555555555557,1.2969924812030074,90.0,Central
16,1637,E07,Ret,5.791666666666667,4.466666666666667,1.296641791044776,90.0,Periférica
16,1622,322,Ida,6.25,4.822222222222222,1.2960829493087558,60.0,Periférica
2,244,G14,Ida,6.125,4.733333333333333,1.2940140845070423,92.0,Central
2,244,G14,Ret,6.125,4.733333333333333,1.2940140845070423,92.0,Central
13,1325,425,Ida,10.041666666666666,7.777777777777778,1.2910714285714284,90.00000000000001,Periférica
14,1451,481,Ret,6.25,4.844444444444445,1.290137614678899,90.0,Periférica
13,1325,425,Ret,10.166666666666666,7.888888888888889,1.288732394366197,90.0,Periférica
8,841,410,Ret,7.5,5.822222222222222,1.2881679389312977,150.0,Periférica
5,556,406,Ida,10.0,7.777777777777778,1.2857142857142858,141.0,Periférica
12,1231,411,Ida,7.0,5.4444444444444455,1.2857142857142854,94.28571428571428,Central
18,1821,321,Ida,4.708333333333334,3.6666666666666665,1.2840909090909094,59.99999999999999,Periférica
5,524,J04,Ida,6.958333333333333,5.422222222222222,1.283299180327869,81.0,Periférica
5,540,J20,Ida,5.291666666666667,4.133333333333334,1.280241935483871,81.0,Periférica
3,378,I08,Ret,14.333333333333332,11.200000000000001,1.2797619047619044,98.0,Semi-Central
14,1408,108,Ida,6.791666666666667,5.311111111111111,1.2787656903765692,90.0,Periférica
5,501,501,Ida,10.166666666666666,7.955555555555556,1.2779329608938546,81.0,Periférica
5,518,518,Ret,7.75,6.066666666666666,1.2774725274725276,81.0,Periférica
3,320,121,Ret,6.75,5.288888888888889,1.2762605042016808,98.0,Semi-Central
16,1609,209,Ret,7.083333333333333,5.555555555555556,1.2749999999999997,150.0,Periférica
